RAW > 0 1 0 85 54
RAW > 0 2 0 64 38
RAW > 0 3 0 5 96
RAW > 0 4 0 79 81
RAW > 0 5 0 39 92
RAW > 0 6 0 8 64
RAW > 0 7 0 95 77
RAW > 0 8 0 97 47
RAW > 0 9 0 52 78
RAW > 0.1 1 0 85 85 -1
RAW > 0.1 2 0 64 64 -1
RAW > 0.1 3 0 5 5 -1
RAW > 0.1 4 0 79 79 -1
RAW > 0.1 5 0 39 39 -1
RAW > 0.1 6 0 8 8 -1
RAW > 0.1 7 0 95 95 -1
RAW > 0.1 8 0 97 97 -1
RAW > 0.1 9 0 51 51 -1
RAW > 0.2 0 0 55 55 -1
RAW > 0.2 1 0 85 85 -1
RAW > 0.2 2 0 64 64 -1
RAW > 0.2 3 0 5 5 -1
RAW > 0.2 4 0 79 79 -1
RAW > 0.2 5 0 39 39 -1
RAW > 0.2 6 0 8 8 -1
RAW > 0.2 7 0 95 95 -1
RAW > 0.2 8 0 97 97 -1
RAW > 0.2 9 0 51 51 -1
RAW > 0.3 0 0 55 55 -1
RAW > 0.3 1 0 85 85 -1
RAW > 0.3 2 0 64 64 -1
RAW > 0.3 3 0 5 5 -1
RAW > 0.3 4 0 78 78 -1
RAW > 0.3 5 0 39 39 -1
RAW > 0.3 6 0 8 8 -1
RAW > 0.3 7 0 95 95 -1
RAW > 0.3 8 0 97 97 -1
RAW > 0.3 9 0 51 51 -1
RAW > 0.4 0 0 55 55 -1
RAW > 0.4 1 0 85 85 -1
RAW > 0.4 2 0 64 64 -1
RAW > 0.4 3 0 5 5 -1
RAW > 0.4 4 0 78 78 -1
RAW > 0.4 5 0 39 39 -1
RAW > 0.4 6 0 9 9 -1
RAW > 0.4 7 0 95 95 -1
RAW > 0.4 8 0 97 97 -1
RAW > 0.4 9 0 51 51 -1
RAW > 0.5 0 0 55 55 -1
RAW > 0.5 1 0 85 85 -1
RAW > 0.5 2 0 64 64 -1
RAW > 0.5 3 0 5 5 -1
RAW > 0.5 4 0 78 78 -1
RAW > 0.5 5 0 39 39 -1
RAW > 0.5 6 0 9 9 -1
RAW > 0.5 7 0 95 95 -1
RAW > 0.5 8 0 97 97 -1
RAW > 0.5 9 0 51 51 -1
RAW > 0.6 0 0 55 55 -1
RAW > 0.6 1 0 85 85 -1
RAW > 0.6 2 0 64 64 -1
RAW > 0.6 3 0 6 6 -1
RAW > 0.6 4 0 78 78 -1
RAW > 0.6 5 0 38 38 -1
RAW > 0.6 6 0 9 9 -1
RAW > 0.6 7 0 95 95 -1
RAW > 0.6 8 0 97 97 -1
RAW > 0.6 9 0 51 51 -1
RAW > 0.7 0 0 55 55 -1
RAW > 0.7 1 0 85 85 -1
RAW > 0.7 2 0 64 64 -1
RAW > 0.7 3 0 6 6 -1
RAW > 0.7 4 0 78 78 -1
RAW > 0.7 5 0 38 38 -1
RAW > 0.7 6 0 9 9 -1
RAW > 0.7 7 0 95 95 -1
RAW > 0.7 8 0 97 97 -1
RAW > 0.7 9 0 51 51 -1
RAW > 0.8 0 0 55 55 -1
RAW > 0.8 1 0 85 85 -1
RAW > 0.8 2 0 64 64 -1
RAW > 0.8 3 0 6 6 -1
RAW > 0.8 4 0 78 78 -1
RAW > 0.8 5 0 38 38 -1
RAW > 0.8 6 0 9 9 -1
RAW > 0.8 7 0 95 95 -1
RAW > 0.8 8 0 97 97 -1
RAW > 0.8 9 0 51 51 -1
RAW > 0.9 0 0 55 55 -1
RAW > 0.9 1 0 84 84 -1
RAW > 0.9 2 0 64 64 -1
RAW > 0.9 3 0 6 6 -1
RAW > 0.9 4 0 78 78 -1
RAW > 0.9 5 0 38 38 -1
RAW > 0.9 6 0 9 9 -1
RAW > 0.9 7 0 95 95 -1
RAW > 0.9 8 0 96 96 -1
RAW > 0.9 9 0 51 51 -1
RAW > 1 0 0 55 55 -1
RAW > 1 1 0 84 84 -1
RAW > 1 2 0 64 64 -1
RAW > 1 3 0 6 6 -1
RAW > 1 4 0 78 78 -1
RAW > 1 5 0 38 38 -1
RAW > 1 6 0 9 9 -1
RAW > 1 7 0 95 95 -1
RAW > 1 8 0 96 96 -1
RAW > 1 9 0 51 51 -1
RAW > 1.071949895217 0 1 -1 -1 -1
RAW > 1.075949895217 0 1 -1 -1 -1
RAW > 1.1 0 0 55 55 -1
RAW > 1.1 1 0 84 84 -1
RAW > 1.1 2 0 63 63 -1
RAW > 1.1 3 0 6 6 -1
RAW > 1.1 4 0 78 78 -1
RAW > 1.1 5 0 38 38 -1
RAW > 1.1 6 0 9 9 -1
RAW > 1.1 7 0 94 94 -1
RAW > 1.1 8 0 96 96 -1
RAW > 1.1 9 0 50 50 -1
RAW > 1.119949895217 0 1 -1 -1 -1
RAW > 1.123949895217 0 1 -1 -1 -1
RAW > 1.167949895217 0 1 -1 -1 -1
RAW > 1.171949895217 0 1 -1 -1 -1
RAW > 1.2 0 0 56 56 -1
RAW > 1.2 1 0 84 84 -1
RAW > 1.2 2 0 63 63 -1
RAW > 1.2 3 0 6 6 -1
RAW > 1.2 4 0 78 78 -1
RAW > 1.2 5 0 38 38 -1
RAW > 1.2 6 0 9 9 -1
RAW > 1.2 7 0 94 94 -1
RAW > 1.2 8 0 96 96 -1
RAW > 1.2 9 0 50 50 -1
RAW > 1.215949895217 0 1 -1 -1 -1
RAW > 1.219949895217 0 1 -1 -1 -1
RAW > 1.263949895217 0 1 -1 -1 -1
RAW > 1.267949895217 0 1 -1 -1 -1
RAW > 1.3 0 0 56 56 -1
RAW > 1.3 1 0 84 84 -1
RAW > 1.3 2 0 63 63 -1
RAW > 1.3 3 0 6 6 -1
RAW > 1.3 4 0 78 78 -1
RAW > 1.3 5 0 38 38 -1
RAW > 1.3 6 0 9 9 -1
RAW > 1.3 7 0 94 94 -1
RAW > 1.3 8 0 96 96 -1
RAW > 1.3 9 0 50 50 -1
RAW > 1.311949895217 0 1 -1 -1 -1
RAW > 1.315949895217 0 1 -1 -1 -1
RAW > 1.359949895217 0 1 -1 -1 -1
RAW > 1.363949895217 0 1 -1 -1 -1
RAW > 1.4 0 0 56 56 -1
RAW > 1.4 1 0 84 84 -1
RAW > 1.4 2 0 63 63 -1
RAW > 1.4 3 0 6 6 -1
RAW > 1.4 4 0 78 78 -1
RAW > 1.4 5 0 38 38 -1
RAW > 1.4 6 0 9 9 -1
RAW > 1.4 7 0 94 94 -1
RAW > 1.4 8 0 96 96 -1
RAW > 1.4 9 0 50 50 -1
RAW > 1.407949895217 0 1 -1 -1 -1
RAW > 1.411949895217 0 1 -1 -1 -1
RAW > 1.455949895217 0 1 -1 -1 -1
RAW > 1.459949895217 0 1 -1 -1 -1
RAW > 1.5 0 0 56 56 -1
RAW > 1.5 1 0 84 84 -1
RAW > 1.5 2 0 63 63 -1
RAW > 1.5 3 0 6 6 -1
RAW > 1.5 4 0 77 77 -1
RAW > 1.5 5 0 38 38 -1
RAW > 1.5 6 0 9 9 -1
RAW > 1.5 7 0 94 94 -1
RAW > 1.5 8 0 96 96 -1
RAW > 1.5 9 0 50 50 -1
RAW > 1.503949895217 0 1 -1 -1 -1
RAW > 1.507949895217 0 1 -1 -1 -1
RAW > 1.551949895217 0 1 -1 -1 -1
RAW > 1.555949895217 0 1 -1 -1 -1
RAW > 1.599949895217 0 1 -1 -1 -1
RAW > 1.6 0 0 56 56 -1
RAW > 1.6 1 0 84 84 -1
RAW > 1.6 2 0 63 63 -1
RAW > 1.6 3 0 6 6 -1
